1|Aapeli Aapiskukko|014-123456|
2|Anna Ahonen|014-222101|
3|Ruupertti Rutanen|014-222102|
4|Seppo Suominen|014-222103|
5|Taavetti Talvinen|014-222104|
6|Pekka Puupaa|014-222105|
7|Justus Joulunen|014-222106|
8|Yrjo Yokukkuja|014-222107|
9|Teppo Teikalainen|014-222108|
10|Aukusti Aaltola||
11|Jukka Jarvi|014-222110|
12|Jooseppi Juhannuskokko|014-222111|
13|Maaria Mustanen|014-222112|
14|Katto Kassinen|54321|
15|Pekka Puup��|040 12345678|
16|Testi Testi|040 123456|
17|Pekka Puupää||
18|Testi Testilä|1234|
